learning_rate, optimizer, filter_size, epochs, loss, accuracy
1e-4,p,36,3,0.4531,0.8594
1e-4,p,36,3,0.4498,0.8725
1e-4,p,48,3,0.3829,0.8885
1e-4,p,48,3,0.3626,0.9021
1e-4,c,36,3,0.4585,0.8672
1e-4,c,36,3,0.4124,0.8799
1e-4,c,48,3,0.4262,0.8698
1e-4,c,48,3,0.3079,0.9070
1e-4,m,36,3,0.4042,0.8875
1e-4,m,36,3,0.4242,0.8810
1e-4,m,48,3,0.3569,0.8869
1e-4,m,48,3,0.3163,0.8980
1e-3,p,36,3,0.1941,0.9454
1e-3,p,36,3,0.1313,0.9602
1e-3,p,48,3,0.3073,0.9119
1e-3,p,48,3,0.3785,0.9109
1e-3,c,36,3,0.2389,0.9274
1e-3,c,36,3,0.1785,0.9518
1e-3,c,48,3,0.1304,0.9583
1e-3,c,48,3,0.2096,0.9429
1e-3,m,36,3,0.1919,0.9472
1e-3,m,36,3,0.2154,0.9499
1e-3,m,48,3,0.1360,0.9677
1e-3,m,48,3,0.1623,0.9645
1e-2,p,36,3,1.1119,0.7569
1e-2,p,36,3,1.0874,0.7569
1e-2,p,48,3,4.7712,0.0159
1e-2,p,48,3,1.3153,0.7017
1e-2,c,36,3,1.1753,0.7632
1e-2,c,36,3,4.7712,0.0159
1e-2,c,48,3,0.8235,0.7986
1e-2,c,48,3,4.7712,0.0159
1e-2,m,36,3,0.9182,0.8086
1e-2,m,36,3,4.7716,0.0159
1e-2,m,48,3,1.3087,0.7031
1e-2,m,48,3,4.7713,0.0159
